Atomic number Z,Symbol,Name,Group,Period,Block,Standard atomic weight (Da),Density (g/cm3),Melting point (K),Boiling point (K),Specific heat capatcity (J/g · K),Electro-negativity
1,H,Hydrogen,1,1,s-block,1.0080,0.00008988,14.01,20.28,14.304,2.20
2,He,Helium,18,1,s-block,4.0026,0.0001785,-[k],4.22,5.193,-
3,Li,Lithium,1,2,s-block,6.94,0.534,453.69,1560,3.582,0.98
4,Be,Beryllium,2,2,s-block,9.0122,1.85,1560,2742,1.825,1.57
5,B,Boron,13,2,p-block,10.81,2.34,2349,4200,1.026,2.04
6,C,Carbon,14,2,p-block,12.011,2.267,>4000,4300,0.709,2.55
7,N,Nitrogen,15,2,p-block,14.007,0.0012506,63.15,77.36,1.04,3.04
8,O,Oxygen,16,2,p-block,15.999,0.001429,54.36,90.20,0.918,3.44
9,F,Fluorine,17,2,p-block,18.998,0.001696,53.53,85.03,0.824,3.98
10,Ne,Neon,18,2,p-block,20.180,0.0009002,24.56,27.07,1.03,-
11,Na,Sodium,1,3,s-block,22.990,0.968,370.87,1156,1.228,0.93
12,Mg,Magnesium,2,3,s-block,24.305,1.738,923,1363,1.023,1.31
13,Al,Aluminium,13,3,p-block,26.982,2.70,933.47,2792,0.897,1.61
14,Si,Silicon,14,3,p-block,28.085,2.3290,1687,3538,0.705,1.9
15,P,Phosphorus,15,3,p-block,30.974,1.823,317.30,550,0.769,2.19
16,S,Sulfur,16,3,p-block,32.06,2.07,388.36,717.87,0.71,2.58
17,Cl,Chlorine,17,3,p-block,35.45,0.0032,171.6,239.11,0.479,3.16
18,Ar,Argon,18,3,p-block,39.95,0.001784,83.80,87.30,0.52,-
19,K,Potassium,1,4,s-block,39.098,0.89,336.53,1032,0.757,0.82
20,Ca,Calcium,2,4,s-block,40.078,1.55,1115,1757,0.647,1.00
21,Sc,Scandium,3,4,d-block,44.956,2.985,1814,3109,0.568,1.36
22,Ti,Titanium,4,4,d-block,47.867,4.506,1941,3560,0.523,1.54
23,V,Vanadium,5,4,d-block,50.942,6.11,2183,3680,0.489,1.63
24,Cr,Chromium,6,4,d-block,51.996,7.15,2180,2944,0.449,1.66
25,Mn,Manganese,7,4,d-block,54.938,7.21,1519,2334,0.479,1.55
26,Fe,Iron,8,4,d-block,55.845,7.874,1811,3134,0.449,1.83
27,Co,Cobalt,9,4,d-block,58.933,8.90,1768,3200,0.421,1.88
28,Ni,Nickel,10,4,d-block,58.693,8.908,1728,3186,0.444,1.91
29,Cu,Copper,11,4,d-block,63.546,8.96,1357.77,2835,0.385,1.90
30,Zn,Zinc,12,4,d-block,65.38,7.14,692.88,1180,0.388,1.65
31,Ga,Gallium,13,4,p-block,69.723,5.91,302.9146,2673,0.371,1.81
32,Ge,Germanium,14,4,p-block,72.630,5.323,1211.40,3106,0.32,2.01
33,As,Arsenic,15,4,p-block,74.922,5.727,1090[l],887,0.329,2.18
34,Se,Selenium,16,4,p-block,78.971,4.81,453,958,0.321,2.55
35,Br,Bromine,17,4,p-block,79.904,3.1028,265.8,332.0,0.474,2.96
36,Kr,Krypton,18,4,p-block,83.798,0.003749,115.79,119.93,0.248,3.00
37,Rb,Rubidium,1,5,s-block,85.468,1.532,312.46,961,0.363,0.82
38,Sr,Strontium,2,5,s-block,87.62,2.64,1050,1655,0.301,0.95
39,Y,Yttrium,3,5,d-block,88.906,4.472,1799,3609,0.298,1.22
40,Zr,Zirconium,4,5,d-block,91.224,6.52,2128,4682,0.278,1.33
41,Nb,Niobium,5,5,d-block,92.906,8.57,2750,5017,0.265,1.6
42,Mo,Molybdenum,6,5,d-block,95.95,10.28,2896,4912,0.251,2.16
43,Tc,Technetium,7,5,d-block,97,11,2430,4538,-,1.9
44,Ru,Ruthenium,8,5,d-block,101.07,12.45,2607,4423,0.238,2.2
45,Rh,Rhodium,9,5,d-block,102.91,12.41,2237,3968,0.243,2.28
46,Pd,Palladium,10,5,d-block,106.42,12.023,1828.05,3236,0.244,2.20
47,Ag,Silver,11,5,d-block,107.87,10.49,1234.93,2435,0.235,1.93
48,Cd,Cadmium,12,5,d-block,112.41,8.65,594.22,1040,0.232,1.69
49,In,Indium,13,5,p-block,114.82,7.31,429.75,2345,0.233,1.78
50,Sn,Tin,14,5,p-block,118.71,7.265,505.08,2875,0.228,1.96
51,Sb,Antimony,15,5,p-block,121.76,6.697,903.78,1860,0.207,2.05
52,Te,Tellurium,16,5,p-block,127.60,6.24,722.66,1261,0.202,2.1
53,I,Iodine,17,5,p-block,126.90,4.933,386.85,457.4,0.214,2.66
54,Xe,Xenon,18,5,p-block,131.29,0.005894,161.4,165.03,0.158,2.60
55,Cs,Caesium,1,6,s-block,132.91,1.93,301.59,944,0.242,0.79
56,Ba,Barium,2,6,s-block,137.33,3.51,1000,2170,0.204,0.89
57,La,Lanthanum,f-block groups,6,f-block,138.91,6.162,1193,3737,0.195,1.1
58,Ce,Cerium,f-block groups,6,f-block,140.12,6.770,1068,3716,0.192,1.12
59,Pr,Praseodymium,f-block groups,6,f-block,140.91,6.77,1208,3793,0.193,1.13
60,Nd,Neodymium,f-block groups,6,f-block,144.24,7.01,1297,3347,0.19,1.14
61,Pm,Promethium,f-block groups,6,f-block,145,7.26,1315,3273,-,1.13
62,Sm,Samarium,f-block groups,6,f-block,150.36,7.52,1345,2067,0.197,1.17
63,Eu,Europium,f-block groups,6,f-block,151.96,5.244,1099,1802,0.182,1.2
64,Gd,Gadolinium,f-block groups,6,f-block,157.25,7.90,1585,3546,0.236,1.2
65,Tb,Terbium,f-block groups,6,f-block,158.93,8.23,1629,3503,0.182,1.2
66,Dy,Dysprosium,f-block groups,6,f-block,162.50,8.540,1680,2840,0.17,1.22
67,Ho,Holmium,f-block groups,6,f-block,164.93,8.79,1734,2993,0.165,1.23
68,Er,Erbium,f-block groups,6,f-block,167.26,9.066,1802,3141,0.168,1.24
69,Tm,Thulium,f-block groups,6,f-block,168.93,9.32,1818,2223,0.16,1.25
70,Yb,Ytterbium,f-block groups,6,f-block,173.05,6.90,1097,1469,0.155,1.1
71,Lu,Lutetium,3,6,d-block,174.97,9.841,1925,3675,0.154,1.27
72,Hf,Hafnium,4,6,d-block,178.49,13.31,2506,4876,0.144,1.3
73,Ta,Tantalum,5,6,d-block,180.95,16.69,3290,5731,0.14,1.5
74,W,Tungsten,6,6,d-block,183.84,19.25,3695,5828,0.132,2.36
75,Re,Rhenium,7,6,d-block,186.21,21.02,3459,5869,0.137,1.9
76,Os,Osmium,8,6,d-block,190.23,22.59,3306,5285,0.13,2.2
77,Ir,Iridium,9,6,d-block,192.22,22.56,2719,4701,0.131,2.20
78,Pt,Platinum,10,6,d-block,195.08,21.45,2041.4,4098,0.133,2.28
79,Au,Gold,11,6,d-block,196.97,19.3,1337.33,3129,0.129,2.54
80,Hg,Mercury,12,6,d-block,200.59,13.534,234.43,629.88,0.14,2.00
81,Tl,Thallium,13,6,p-block,204.38,11.85,577,1746,0.129,1.62
82,Pb,Lead,14,6,p-block,207.2,11.34,600.61,2022,0.129,1.87 (2+) 2.33 (4+)
83,Bi,Bismuth,15,6,p-block,208.98,9.78,544.7,1837,0.122,2.02
84,Po,Polonium,16,6,p-block,209,9.196,527,1235,-,2.0
85,At,Astatine,17,6,p-block,210,(8.91–8.95),575,610,-,2.2
86,Rn,Radon,18,6,p-block,222,0.00973,202,211.3,0.094,2.2
87,Fr,Francium,1,7,s-block,223,(2.48),281,890,-,>0.796
88,Ra,Radium,2,7,s-block,226,5.5,973,2010,0.094,0.9
89,Ac,Actinium,f-block groups,7,f-block,227,10,1323,3471,0.12,1.1
90,Th,Thorium,f-block groups,7,f-block,232.04,11.7,2115,5061,0.113,1.3
91,Pa,Protactinium,f-block groups,7,f-block,231.04,15.37,1841,4300,-,1.5
92,U,Uranium,f-block groups,7,f-block,238.03,19.1,1405.3,4404,0.116,1.38
93,Np,Neptunium,f-block groups,7,f-block,237,20.45,917,4273,-,1.36
94,Pu,Plutonium,f-block groups,7,f-block,244,19.85,912.5,3501,-,1.28
95,Am,Americium,f-block groups,7,f-block,243,12,1449,2880,-,1.13
96,Cm,Curium,f-block groups,7,f-block,247,13.51,1613,3383,-,1.28
97,Bk,Berkelium,f-block groups,7,f-block,247,14.78,1259,2900,-,1.3
98,Cf,Californium,f-block groups,7,f-block,251,15.1,1173,(1743)[b],-,1.3
99,Es,Einsteinium,f-block groups,7,f-block,252,8.84,1133,(1269),-,1.3
100,Fm,Fermium,f-block groups,7,f-block,257,(9.7)[b],(1125)7 (1800)8,-,-,1.3
101,Md,Mendelevium,f-block groups,7,f-block,258,(10.3),(1100),-,-,1.3
102,No,Nobelium,f-block groups,7,f-block,259,(9.9),(1100),-,-,1.3
103,Lr,Lawrencium,3,7,d-block,266,(14.4),(1900),-,-,1.3
104,Rf,Rutherfordium,4,7,d-block,267,(17),(2400),(5800),-,-
105,Db,Dubnium,5,7,d-block,268,(21.6),-,-,-,-
106,Sg,Seaborgium,6,7,d-block,267,(23–24),-,-,-,-
107,Bh,Bohrium,7,7,d-block,270,(26–27),-,-,-,-
108,Hs,Hassium,8,7,d-block,271,(27–29),-,-,-,-
109,Mt,Meitnerium,9,7,d-block,278,(27–28),-,-,-,-
110,Ds,Darmstadtium,10,7,d-block,281,(26–27),-,-,-,-
111,Rg,Roentgenium,11,7,d-block,282,(22–24),-,-,-,-
112,Cn,Copernicium,12,7,d-block,285,(14.0),(283±11),(340±10)[b],-,-
113,Nh,Nihonium,13,7,p-block,286,(16),(700),(1400),-,-
114,Fl,Flerovium,14,7,p-block,289,(11.4±0.3),(284±50)[b],-,-,-
115,Mc,Moscovium,15,7,p-block,290,(13.5),(700),(1400),-,-
116,Lv,Livermorium,16,7,p-block,293,(12.9),(700),(1100),-,-
117,Ts,Tennessine,17,7,p-block,294,(7.1–7.3),(700),(883),-,-
118,Og,Oganesson,18,7,p-block,294,(7),(325±15),(450±10),-,-
